Options:
Model:                           Discrete: Independent
Tree File Name:                  ./ccm/data/bt_data/fXpermitted.bttrees
Data File Name:                  ./ccm/data/bt_data/fXpermitted.btdata
Log File Name:                   ./ccm/bt_output/fXpermitted-indep-2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2613100307
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./ccm/bt_output/fXpermitted-indep-2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-53.565673	44	8.248064	3.529178	0.491555	3.140299	0.151968	0.346133	0.153127	0.348773	
12000	-52.790229	36	0.212640	0.692570	1.664546	2.838589	0.003516	0.002599	0.571466	0.422419	
13000	-54.539298	8	3.469746	0.627106	3.389567	4.789385	0.195695	0.192289	0.308694	0.303322	
14000	-51.742296	44	2.677477	0.610139	1.411784	1.984915	0.233736	0.123558	0.420447	0.222258	
15000	-53.547514	63	6.920056	2.131847	2.254980	1.730519	0.339186	0.154534	0.347815	0.158465	
16000	-52.172294	32	5.243225	1.855175	1.650524	0.069666	0.456341	0.000363	0.542863	0.000432	
17000	-53.305265	93	4.170188	2.166162	0.450019	2.602573	0.145644	0.288954	0.189479	0.375923	
18000	-52.621983	85	4.935079	1.007641	0.551851	1.933492	0.224367	0.241771	0.256964	0.276897	
19000	-58.601791	72	5.792602	2.964881	0.493741	1.468366	0.250409	0.233783	0.266760	0.249048	
20000	-52.732458	49	8.630362	1.944307	0.179878	3.429193	0.083158	0.414871	0.083816	0.418155	
21000	-53.837053	3	7.738946	0.740517	2.068031	2.019848	0.364184	0.161652	0.328396	0.145767	
22000	-55.235657	57	9.278119	0.627351	2.502716	5.703990	0.257425	0.276171	0.225009	0.241395	
23000	-51.054345	57	5.036191	0.926477	1.048565	3.086785	0.220733	0.250617	0.247566	0.281083	
24000	-51.437831	44	1.855312	1.185696	1.718782	0.954866	0.233455	0.038121	0.626175	0.102249	
25000	-51.626207	44	1.485507	1.012180	1.788819	1.958156	0.143966	0.068896	0.532369	0.254769	
