Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.331255	-1.331255
1	0.950747	750	-1.312373	-2.643628
2	0.926679	750	-1.302566	-3.946194
3	0.902980	750	-1.278569	-5.224763
4	0.879648	750	-1.250516	-6.475279
5	0.856682	750	-1.247932	-7.723211
6	0.834079	750	-1.222472	-8.945683
7	0.811838	750	-1.203801	-10.149484
8	0.789957	750	-1.172740	-11.322224
9	0.768433	750	-1.153275	-12.475499
10	0.747266	750	-1.151682	-13.627181
11	0.726452	750	-1.121384	-14.748565
12	0.705989	750	-1.106741	-15.855306
13	0.685877	750	-1.100346	-16.955652
14	0.666112	750	-1.089216	-18.044868
15	0.646693	750	-1.053130	-19.097998
16	0.627618	750	-1.044331	-20.142329
17	0.608884	750	-1.020889	-21.163218
18	0.590490	750	-1.007665	-22.170883
19	0.572433	750	-0.981203	-23.152086
20	0.554712	750	-0.983512	-24.135598
21	0.537324	750	-0.967188	-25.102786
22	0.520268	750	-0.944903	-26.047689
23	0.503540	750	-0.927826	-26.975515
24	0.487139	750	-0.901004	-27.876519
25	0.471063	750	-0.892803	-28.769322
26	0.455310	750	-0.880301	-29.649623
27	0.439877	750	-0.864602	-30.514225
28	0.424762	750	-0.839105	-31.353330
29	0.409963	750	-0.825321	-32.178650
30	0.395478	750	-0.814404	-32.993054
31	0.381305	750	-0.799856	-33.792910
32	0.367440	750	-0.780017	-34.572927
33	0.353883	750	-0.772542	-35.345469
34	0.340630	750	-0.752557	-36.098026
35	0.327680	750	-0.730977	-36.829003
36	0.315030	750	-0.717411	-37.546415
37	0.302677	750	-0.702978	-38.249393
38	0.290619	750	-0.695455	-38.944848
39	0.278855	750	-0.677764	-39.622611
40	0.267381	750	-0.668297	-40.290908
41	0.256195	750	-0.646982	-40.937890
42	0.245294	750	-0.629143	-41.567033
43	0.234677	750	-0.622931	-42.189965
44	0.224340	750	-0.612742	-42.802707
45	0.214281	750	-0.580182	-43.382889
46	0.204498	750	-0.573243	-43.956132
47	0.194988	750	-0.566008	-44.522140
48	0.185749	750	-0.544541	-45.066681
49	0.176777	750	-0.534155	-45.600836
50	0.168070	750	-0.518281	-46.119117
51	0.159626	750	-0.515349	-46.634466
52	0.151441	750	-0.501742	-47.136208
53	0.143514	750	-0.478974	-47.615182
54	0.135841	750	-0.465585	-48.080768
55	0.128420	750	-0.450097	-48.530865
56	0.121247	750	-0.440324	-48.971189
57	0.114320	750	-0.425243	-49.396432
58	0.107637	750	-0.428697	-49.825129
59	0.101193	750	-0.408758	-50.233887
60	0.094986	750	-0.394217	-50.628104
61	0.089014	750	-0.385927	-51.014031
62	0.083273	750	-0.362246	-51.376278
63	0.077760	750	-0.355240	-51.731518
64	0.072472	750	-0.339739	-52.071257
65	0.067406	750	-0.328827	-52.400084
66	0.062558	750	-0.317161	-52.717244
67	0.057926	750	-0.306789	-53.024033
68	0.053506	750	-0.293994	-53.318027
69	0.049295	750	-0.285901	-53.603928
70	0.045289	750	-0.273484	-53.877412
71	0.041485	750	-0.267076	-54.144489
72	0.037880	750	-0.247077	-54.391565
73	0.034469	750	-0.227762	-54.619327
74	0.031250	750	-0.237117	-54.856443
75	0.028218	750	-0.223080	-55.079523
76	0.025370	750	-0.205574	-55.285098
77	0.022702	750	-0.198684	-55.483782
78	0.020209	750	-0.175419	-55.659200
79	0.017889	750	-0.170390	-55.829590
80	0.015736	750	-0.171422	-56.001013
81	0.013746	750	-0.152392	-56.153405
82	0.011916	750	-0.142961	-56.296366
83	0.010240	750	-0.136940	-56.433306
84	0.008714	750	-0.124209	-56.557514
85	0.007334	750	-0.114153	-56.671668
86	0.006093	750	-0.100627	-56.772295
87	0.004988	750	-0.090660	-56.862955
88	0.004013	750	-0.079237	-56.942193
89	0.003162	750	-0.072102	-57.014295
90	0.002430	750	-0.062431	-57.076726
91	0.001810	750	-0.053443	-57.130169
92	0.001296	750	-0.044087	-57.174255
93	0.000882	750	-0.033153	-57.207408
94	0.000559	750	-0.028020	-57.235429
95	0.000320	750	-0.020544	-57.255973
96	0.000156	750	-0.014583	-57.270556
97	0.000057	750	-0.008404	-57.278960
98	0.000010	750	-0.004352	-57.283312
99	0.000000	750	-0.000844	-57.284155
Log marginal likelihood:	-57.284155
