Options:
Model:                           Discrete: Independent
Tree File Name:                  ./ccm/data/bt_data/mXpermitted.bttrees
Data File Name:                  ./ccm/data/bt_data/mXpermitted.btdata
Log File Name:                   ./ccm/bt_output/mXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1274344856
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./ccm/bt_output/mXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-47.411965	77	3.469522	0.683247	0.096412	2.069541	0.040770	0.288354	0.083104	0.587772	
12000	-49.651287	21	7.038895	0.752320	3.936823	2.392925	0.307858	0.141338	0.377495	0.173309	
13000	-50.208922	1	11.902957	1.059319	5.720391	6.832146	0.250222	0.249422	0.250579	0.249777	
14000	-49.987847	85	6.527087	1.858279	1.982209	0.320846	0.467108	0.012900	0.506017	0.013975	
15000	-48.732976	39	13.028803	1.447722	0.629355	0.147826	0.498057	0.001739	0.498463	0.001741	
16000	-48.833234	34	9.147425	0.785804	0.516191	4.715713	0.117879	0.372740	0.122387	0.386995	
17000	-48.746025	90	17.861840	2.817715	0.026130	3.922339	0.016969	0.483030	0.016969	0.483033	
18000	-48.035376	17	41.477558	6.390287	2.442083	4.253746	0.243187	0.256813	0.243187	0.256813	
19000	-46.440417	93	34.351003	5.218765	1.308511	0.110665	0.498709	0.001291	0.498709	0.001291	
20000	-49.432937	75	2.173964	0.631935	3.116303	1.136133	0.187145	0.037505	0.645908	0.129442	
21000	-47.545104	7	3.023935	0.479475	0.431803	3.147253	0.082481	0.226864	0.184150	0.506506	
22000	-48.956602	63	8.317753	1.993912	0.347721	1.904257	0.203460	0.292323	0.206921	0.297296	
23000	-48.558457	29	30.230693	2.679556	1.398494	4.015207	0.224561	0.275439	0.224561	0.275439	
24000	-45.465292	61	7.156773	0.592401	0.612493	3.513756	0.123618	0.343055	0.141274	0.392053	
25000	-47.329950	25	17.596279	1.635415	0.778918	3.249569	0.152814	0.347207	0.152801	0.347178	
26000	-46.960182	20	15.030559	1.733340	1.378508	0.330663	0.491991	0.007940	0.492126	0.007942	
27000	-48.270388	86	29.705536	2.155521	1.650870	0.417873	0.481035	0.018965	0.481035	0.018965	
28000	-50.438620	67	10.194445	0.353869	0.451684	1.570359	0.301647	0.219013	0.277708	0.201632	
29000	-50.788498	75	33.140282	1.283729	3.810562	4.076971	0.263007	0.236993	0.263007	0.236993	
30000	-50.143154	71	0.555576	0.738123	0.718737	1.809404	0.020772	0.017997	0.515022	0.446209	
31000	-46.842756	17	18.111440	2.629635	1.550692	3.705208	0.219313	0.280664	0.219333	0.280689	
32000	-49.004912	63	5.637439	1.523318	2.137213	1.674439	0.331299	0.142913	0.367332	0.158456	
