"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"MALI",,"mali1284","","",0,,,,,,1,"chau","chau",,,"mamēk",,,,,"nanēk"
"COAST_TSIMSHIAN",,"nucl1649","xd1104","B289, Nb7, WNAI5",1,1,3,2,2,5,1,,,,,"aap; aab-; pˀaʔa; gwat; nagwaat",,,,,"nay; noo"
"MURRINH_PATHA_1",,"murr1258","","",1,11,6,10,5,5,1,"kaka","kaka","jile","jile","jile","kale","kale","pipi","pipi","kale"
"MURRINH_PATHA_2",,"murr1258","","",1,11,6,10,5,5,1,"kaka","kaka","jile","jile","jile","kale","kale","pipi","pipi","kale"
"GANGULIDA",,"gang1267","","",0,,,,,,1,"kakucu; kakutYu","kakucu","kaṋṱaṱu","kaṋṱaṱu; kan̪t̪at̪u","kaṋṱaṱu; kan̪t̪at̪u","ŋamaṱu; ŋamat̪u","ŋamaṱu; kapiɭicu; kapilitYu","ŋamaṱu; markat̪u","ŋamaṱu","ŋamaṱu; ŋamat̪u"
"GANGGALIDA",,"gang1267","","",0,,,,,,1,"kakucu; kakutYu","kakucu","kaṋṱaṱu","kaṋṱaṱu; kan̪t̪at̪u","kaṋṱaṱu; kan̪t̪at̪u","ŋamaṱu; ŋamat̪u","ŋamaṱu; kapiɭicu; kapilitYu","ŋamaṱu; markat̪u","ŋamaṱu","ŋamaṱu; ŋamat̪u"
"DJINGILI",,"djin1251","","",0,,,,,,1,"kanya","kanya","kirda; lala","kirda; lala","kirda; lala","jakardini","jakardini","lilirni","lilirni","jakardini"
"WAMBAYA",,"wamb1258","","",0,,,,,,1,,,,,"irda","gambaranya; garrangulinya; gujinganjarda; gujinya","gambaranya; garrangulinya; gujinganjarda; gujinya","barnangilinya; irdinya; iriyilina; iriyirda","barnangilinya; irdinya; iriyilina; iriyirda","gujinganjarda; gujinya"
"BUAN",,"ngal1292","","",0,,,,,,1,"nabacan; kaɖak","kaɖak","bulu","bulu","bulu","mulaʔ; moɭaʔ","naʔ","coŋok","coŋok","naʔ"
"GUNWINGGU_KUNE",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"GUNWINGGU_KUNINJKU",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"GUNWINGGU_KUNWINJKU",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"GUNWINGGU_GUN_DJEIHMI",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
"GUNWINGGU_MANYALLALUK_MAYALI",,"gunw1252","xd939","B84",0,,,,,,1,"ŋacac","ŋacac","ŋabːaɖ","ŋabːaɖ","ŋabːaɖ","mulaʔ","garaɖ","beɭu","beɭu","garaɖ"
