"taxon","glottocode","xd_ids","soc_ids","ea_id","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mF","mFeB","mFyB","mMeB","mMyB","mWF","mM","mFeZ","mFyZ","mMeZ","mMyZ","mWM"
"A11_Londo","orok1266","","",,1,,,,,,1,"sesℇ; tátá",,,,,,"iyá; ŋámgbℇ; ŋáŋgℇ",,,,,
"A121_Mbonge","orok1266","","",,1,,,,,,1,"sesℇ; tátá",,,,,,"iyá; ŋámgbℇ; ŋáŋgℇ",,,,,
"A122_Bakundu","orok1266","xd166","Ae45","Ae45",1,,,,,,1,"sesℇ; tátá",,,,,,"iyá; ŋámgbℇ; ŋáŋgℇ",,,,,
"A22_Bakweri","mokp1239","xd138","Ae2","Ae2",1,7,8,15,9,,1,"sango; tatè; rángó","tatℇ; melá","tatℇ; melá","mólalo; móla","mólalo; móla","mókía","nyángo; iya; iyáké; iyé; jéjé","iyℇ; atí","iyℇ; atí","iyℇ; atí","iyℇ; atí","mókía"
"A24_Duala","dual1243","xd130","Ae12","Ae12",1,,,,,5,1,"tetℇ; sángó","sángó nusadi","sángó nusadi","mulalo; mulál'a; mulál'a tokitoki","mulalo; mulál'a; mulál'a tokitoki","moyo; sáng'a dibá","nyango; ńongo","nyango nusadi; ánti; ǹangó nusadi","nyango nusadi; ánti; ǹangó nusadi","mut'a mulalo; ánti; ǹangó ińsadi","mut'a mulalo; ánti; ǹangó ińsadi","moyo; ǹyang'a dibá"
"A32C_Batanga","bata1285","xd168","Ae47","Ae47",1,8,7,15,9,,1,"hangwé; paé; paya","ntodu wa hangwé","ndembé wa hangwé","ntodu wa nyangwé","ndembé wa nyangwé","nhiyo hangwé ya diba","iné; nyangwé; ina","sita wa hangwé","nyongwé","sita wa nyangwé","iluhu ya nyangwé","nhiyo nyangwé ya diba"
"A53_Bafia_rikpa","bafi1243","xd169","Ae48","Ae48",1,,,,,,1,"tààtà",,,,,,"ǰℇ'ℇ; ńmàà",,,"ńmàà",,
"A75a_Fang_Bitam","fang1246","xd149","Ae3","Ae3",1,7,8,15,9,6,1,"tare","ésa; tare","ésa; tare","ndômézañ; bekîa bam; nyandôm","ndômézañ; bekîa bam; nyandôm","minki; minki","nya","son'a","son'a","nya","nya","minki; minki"
"A75a_Fang_Medouneu","fang1246","","",,1,,,,,,1,"tare","ésa; tare","ésa; tare","ndômézañ; bekîa bam; nyandôm","ndômézañ; bekîa bam; nyandôm","minki; minki","nya","son'a","son'a","nya","nya","minki; minki"
"A75a_Fang_Minvoul","fang1246","","",,1,,,,,,1,"tare","ésa; tare","ésa; tare","ndômézañ; bekîa bam; nyandôm","ndômézañ; bekîa bam; nyandôm","minki; minki","nya","son'a","son'a","nya","nya","minki; minki"
"A81_Kwasio","kwas1243","xd163","Ae42","Ae42",1,,,,,,1,"song","ña; ku'","ña; ku'","ña; ku'","ña; ku'",,"ñiung","ma; mam","ma; mam","ma; mam","ma; mam",
