Options:
Model:                           Discrete: Independent
Tree File Name:                  ./processed_data/fXpermitted.bttrees
Data File Name:                  ./processed_data/fXpermitted.btdata
Log File Name:                   ./results/fXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2430951605
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./results/fXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-51.698448	36	0.100029	0.736448	1.789049	0.166816	0.001440	0.000009	0.992688	0.005864	
12000	-56.633893	80	11.166544	1.787196	2.230818	6.338684	0.234957	0.265306	0.234710	0.265027	
13000	-54.209003	74	17.118795	1.683165	0.155517	2.359493	0.089401	0.410692	0.089368	0.410540	
14000	-52.700369	97	6.102145	1.826378	0.970889	3.334769	0.208201	0.273468	0.224048	0.294283	
15000	-52.332403	32	5.472020	1.637550	2.416586	4.176390	0.230609	0.231476	0.268452	0.269462	
16000	-54.556821	46	5.272379	0.941071	3.656174	6.793518	0.233718	0.238253	0.261478	0.266551	
17000	-50.690023	57	4.279720	0.874762	0.711753	3.452283	0.175937	0.271840	0.216975	0.335248	
18000	-52.591570	24	0.399237	0.642199	1.983777	0.528904	0.020971	0.001198	0.924990	0.052842	
19000	-53.425475	59	13.446803	2.240260	1.931390	2.997928	0.274265	0.225856	0.274132	0.225747	
20000	-54.784530	11	17.349349	5.001547	0.522636	2.124209	0.208119	0.291880	0.208120	0.291881	
21000	-56.420892	26	6.438928	0.002719	1.782126	2.452145	0.646848	0.352476	0.000437	0.000238	
22000	-56.246317	16	22.384539	7.521922	2.150729	0.563461	0.481460	0.018540	0.481461	0.018540	
23000	-51.749276	63	6.217483	1.624675	0.321225	2.828383	0.141369	0.347596	0.147750	0.363285	
24000	-55.188212	74	10.407468	2.453516	3.018557	5.559182	0.244734	0.254560	0.245426	0.255280	
25000	-50.801825	61	0.378259	1.052099	0.005655	3.068753	0.000069	0.015348	0.004408	0.980175	
26000	-54.936648	39	25.646822	4.018772	2.374180	4.944244	0.237339	0.262661	0.237339	0.262661	
27000	-52.716806	4	3.339262	1.576248	1.434954	0.084857	0.381975	0.000505	0.616705	0.000815	
28000	-53.844535	22	3.677941	0.709151	1.489139	1.410758	0.331172	0.067533	0.499447	0.101848	
29000	-53.338405	86	0.264113	0.856284	1.023061	2.379236	0.006533	0.006181	0.507313	0.479972	
30000	-55.965849	74	9.884513	1.226427	2.991149	0.717292	0.451463	0.053219	0.443086	0.052232	
31000	-52.167542	6	11.765547	1.870699	1.187550	0.333217	0.494098	0.006435	0.493045	0.006422	
32000	-54.618933	37	17.170329	2.675355	2.035444	2.445555	0.298829	0.201176	0.298823	0.201172	
33000	-54.577186	29	2.440234	1.382017	1.096993	2.037902	0.214718	0.143217	0.385163	0.256902	
34000	-56.732650	47	12.874348	5.470679	2.175814	4.002854	0.243622	0.256239	0.243757	0.256382	
35000	-54.528788	85	9.037869	3.436016	0.324059	1.936673	0.186000	0.312511	0.187111	0.314378	
36000	-55.834705	83	15.757127	1.914486	1.533295	2.493340	0.283534	0.216548	0.283441	0.216477	
37000	-53.521441	64	6.385290	1.367235	1.348156	4.263471	0.199467	0.285539	0.211800	0.303193	
38000	-52.131440	44	6.777665	1.648461	2.448286	1.093596	0.399099	0.093566	0.410983	0.096352	
39000	-53.398609	35	5.985946	2.283412	1.042492	2.940314	0.219667	0.256710	0.241453	0.282170	
40000	-54.386583	38	2.019637	1.610271	1.713798	2.249492	0.185776	0.111926	0.438257	0.264041	
41000	-52.607597	32	7.094874	1.822955	1.113337	0.738134	0.461915	0.025184	0.486384	0.026518	
42000	-52.411691	75	7.946324	1.855631	2.395392	0.301201	0.481770	0.010211	0.497475	0.010544	
43000	-54.101195	59	16.987619	4.572628	1.290550	2.657646	0.253949	0.246044	0.253957	0.246051	
44000	-52.396505	15	6.375559	1.202093	0.644610	4.021160	0.154683	0.332233	0.162996	0.350088	
45000	-51.877303	57	3.286346	0.801070	1.940555	3.429759	0.201876	0.194221	0.307787	0.296116	
46000	-51.274212	44	12.744399	2.260930	1.176729	0.269339	0.491726	0.008314	0.491647	0.008313	
47000	-54.725287	70	42.946997	5.040378	1.388656	1.791515	0.373510	0.126490	0.373510	0.126490	
48000	-54.197136	68	2.943972	1.470734	2.166420	2.856440	0.202491	0.150068	0.371855	0.275586	
49000	-52.124677	32	4.881782	1.065547	2.825669	2.829331	0.277583	0.173425	0.337890	0.211102	
50000	-53.172056	61	6.481438	1.575265	3.452388	2.787017	0.290772	0.186315	0.318702	0.204211	
51000	-52.173739	69	4.841095	0.835399	1.444247	0.139220	0.455972	0.001323	0.541135	0.001570	
52000	-53.071589	72	4.905733	0.841839	1.023991	0.281266	0.459719	0.006979	0.525327	0.007975	
53000	-54.332275	75	37.764846	3.986027	0.980956	1.987219	0.285778	0.214222	0.285778	0.214222	
54000	-54.021449	86	11.819526	1.674126	2.100969	0.591447	0.462915	0.037518	0.462114	0.037453	
55000	-54.358190	88	7.832654	3.126626	1.199664	3.165740	0.215789	0.277706	0.221478	0.285027	
56000	-55.185924	83	2.830221	0.804763	2.135678	4.446507	0.166537	0.186476	0.305222	0.341765	
57000	-54.599988	1	4.184156	1.987829	0.180126	2.137845	0.101594	0.338050	0.129489	0.430868	
58000	-52.599493	32	9.608596	1.212709	1.113137	0.298724	0.500768	0.005328	0.488705	0.005200	
59000	-53.689892	95	3.456929	0.780769	1.477699	1.853253	0.284425	0.125965	0.408636	0.180975	
60000	-51.875460	44	5.729169	1.378957	2.387720	1.012416	0.399688	0.083498	0.427505	0.089309	
61000	-54.275849	57	2.250241	1.277399	3.242817	6.154445	0.149117	0.152734	0.344892	0.353258	
62000	-52.120228	32	3.715785	1.360461	1.757264	4.561708	0.174114	0.221354	0.266159	0.338373	
63000	-52.802950	36	8.237317	1.347497	2.414854	2.226083	0.343109	0.157637	0.342086	0.157167	
64000	-57.470868	86	15.317174	2.217621	6.479826	10.108520	0.250000	0.250032	0.249968	0.250000	
65000	-51.536285	93	4.315463	1.210651	0.800647	3.463159	0.158522	0.273751	0.208195	0.359531	
66000	-55.046632	4	0.829148	1.050916	4.128308	5.755937	0.037434	0.037333	0.463245	0.461988	
67000	-53.897064	4	9.457674	2.502844	0.638776	2.177358	0.216072	0.281899	0.217833	0.284196	
68000	-56.000712	3	8.004448	0.768062	4.131719	2.998111	0.292945	0.230090	0.267142	0.209823	
69000	-52.157355	46	7.681341	1.589923	1.391994	0.956587	0.442513	0.052180	0.452008	0.053299	
70000	-52.142715	14	9.629377	1.737844	0.167804	2.880075	0.085242	0.414377	0.085372	0.415009	
71000	-54.972325	7	2.838419	0.470898	0.639097	1.684836	0.206824	0.145016	0.381012	0.267149	
