Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.246747	-1.246747
1	0.950747	750	-1.210442	-2.457190
2	0.926679	750	-1.201649	-3.658839
3	0.902980	750	-1.200951	-4.859790
4	0.879648	750	-1.168548	-6.028339
5	0.856682	750	-1.140908	-7.169246
6	0.834079	750	-1.120606	-8.289852
7	0.811838	750	-1.131904	-9.421756
8	0.789957	750	-1.116691	-10.538447
9	0.768433	750	-1.115709	-11.654157
10	0.747266	750	-1.068514	-12.722670
11	0.726452	750	-1.058144	-13.780814
12	0.705989	750	-1.033172	-14.813986
13	0.685877	750	-1.043296	-15.857282
14	0.666112	750	-1.020580	-16.877861
15	0.646693	750	-0.997038	-17.874899
16	0.627618	750	-0.978273	-18.853172
17	0.608884	750	-0.990882	-19.844054
18	0.590490	750	-0.941146	-20.785200
19	0.572433	750	-0.946641	-21.731841
20	0.554712	750	-0.917125	-22.648966
21	0.537324	750	-0.894291	-23.543257
22	0.520268	750	-0.895134	-24.438391
23	0.503540	750	-0.881912	-25.320302
24	0.487139	750	-0.859384	-26.179686
25	0.471063	750	-0.836176	-27.015862
26	0.455310	750	-0.830748	-27.846610
27	0.439877	750	-0.814815	-28.661425
28	0.424762	750	-0.798599	-29.460024
29	0.409963	750	-0.797720	-30.257744
30	0.395478	750	-0.759069	-31.016812
31	0.381305	750	-0.753571	-31.770384
32	0.367440	750	-0.733877	-32.504261
33	0.353883	750	-0.750729	-33.254990
34	0.340630	750	-0.710648	-33.965638
35	0.327680	750	-0.701637	-34.667275
36	0.315030	750	-0.698557	-35.365832
37	0.302677	750	-0.696060	-36.061892
38	0.290619	750	-0.657876	-36.719767
39	0.278855	750	-0.653246	-37.373013
40	0.267381	750	-0.645014	-38.018027
41	0.256195	750	-0.617990	-38.636017
42	0.245294	750	-0.614106	-39.250123
43	0.234677	750	-0.631713	-39.881836
44	0.224340	750	-0.578564	-40.460400
45	0.214281	750	-0.571180	-41.031580
46	0.204498	750	-0.550884	-41.582464
47	0.194988	750	-0.549999	-42.132463
48	0.185749	750	-0.529038	-42.661501
49	0.176777	750	-0.527530	-43.189030
50	0.168070	750	-0.494343	-43.683373
51	0.159626	750	-0.478850	-44.162223
52	0.151441	750	-0.479115	-44.641338
53	0.143514	750	-0.481679	-45.123017
54	0.135841	750	-0.458983	-45.582000
55	0.128420	750	-0.442334	-46.024334
56	0.121247	750	-0.440010	-46.464345
57	0.114320	750	-0.429192	-46.893536
58	0.107637	750	-0.414158	-47.307695
59	0.101193	750	-0.412109	-47.719804
60	0.094986	750	-0.386036	-48.105840
61	0.089014	750	-0.364273	-48.470113
62	0.083273	750	-0.366421	-48.836534
63	0.077760	750	-0.347860	-49.184394
64	0.072472	750	-0.343013	-49.527407
65	0.067406	750	-0.341154	-49.868561
66	0.062558	750	-0.330629	-50.199190
67	0.057926	750	-0.301674	-50.500864
68	0.053506	750	-0.297434	-50.798298
69	0.049295	750	-0.278238	-51.076536
70	0.045289	750	-0.278776	-51.355312
71	0.041485	750	-0.264922	-51.620233
72	0.037880	750	-0.263213	-51.883447
73	0.034469	750	-0.265207	-52.148654
74	0.031250	750	-0.237357	-52.386011
75	0.028218	750	-0.222703	-52.608713
76	0.025370	750	-0.196244	-52.804957
77	0.022702	750	-0.195563	-53.000520
78	0.020209	750	-0.191804	-53.192324
79	0.017889	750	-0.173274	-53.365598
80	0.015736	750	-0.157258	-53.522856
81	0.013746	750	-0.162023	-53.684879
82	0.011916	750	-0.140347	-53.825226
83	0.010240	750	-0.130268	-53.955494
84	0.008714	750	-0.117940	-54.073434
85	0.007334	750	-0.106046	-54.179480
86	0.006093	750	-0.099948	-54.279428
87	0.004988	750	-0.090019	-54.369447
88	0.004013	750	-0.080137	-54.449584
89	0.003162	750	-0.074873	-54.524457
90	0.002430	750	-0.059565	-54.584022
91	0.001810	750	-0.053561	-54.637583
92	0.001296	750	-0.043518	-54.681101
93	0.000882	750	-0.034609	-54.715710
94	0.000559	750	-0.024849	-54.740560
95	0.000320	750	-0.020092	-54.760651
96	0.000156	750	-0.013412	-54.774063
97	0.000057	750	-0.008285	-54.782348
98	0.000010	750	-0.003814	-54.786163
99	0.000000	750	-0.000798	-54.786961
Log marginal likelihood:	-54.786961
