Options:
Model:                           Discrete: Independent
Tree File Name:                  ./processed_data/mXpermitted.bttrees
Data File Name:                  ./processed_data/mXpermitted.btdata
Log File Name:                   ./results/mXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3664068385
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./results/mXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-48.195223	3	9.579167	0.527618	1.290614	2.176077	0.300122	0.200645	0.299203	0.200030	
12000	-48.042704	25	16.434635	1.165933	1.812505	4.156027	0.222933	0.277237	0.222782	0.277048	
13000	-53.939120	75	23.472927	3.687449	9.464140	7.587513	0.250146	0.249854	0.250146	0.249854	
14000	-47.064497	19	14.877691	1.800595	2.371647	1.338484	0.418565	0.081298	0.418795	0.081342	
15000	-47.603784	17	7.804966	0.616944	1.113708	1.810123	0.319166	0.155835	0.352761	0.172238	
16000	-47.275677	41	7.164743	0.461481	0.524501	3.356815	0.129815	0.345736	0.143163	0.381286	
17000	-46.540116	86	15.959120	1.778876	0.739412	3.053917	0.201643	0.298348	0.201650	0.298359	
18000	-48.013567	20	16.286798	1.423319	1.370730	4.454715	0.214756	0.285292	0.214715	0.285237	
19000	-48.290855	73	13.597621	2.822261	0.274276	2.929717	0.097558	0.402237	0.097638	0.402568	
20000	-50.629998	38	5.980007	0.155703	0.322173	3.017521	0.128028	0.372081	0.127972	0.371919	
21000	-46.885559	84	6.792627	0.644365	1.859839	1.121420	0.408874	0.046838	0.488347	0.055941	
22000	-47.671740	26	11.959034	0.883800	1.635760	2.308823	0.333000	0.167644	0.332143	0.167213	
23000	-48.905550	45	4.543976	0.564407	2.982595	4.178266	0.204692	0.192473	0.310691	0.292145	
24000	-48.894794	84	20.175692	0.795833	1.360824	0.975916	0.462223	0.037931	0.461938	0.037908	
25000	-49.886287	68	20.166823	5.327853	0.175326	3.740404	0.080046	0.419952	0.080047	0.419955	
26000	-47.391712	82	6.244699	0.754755	2.067434	3.321152	0.227782	0.218868	0.282196	0.271153	
27000	-49.966503	37	62.270356	4.226730	2.834896	5.157275	0.245671	0.254329	0.245671	0.254329	
28000	-47.437154	21	4.509730	0.853321	0.606543	2.997964	0.115922	0.244218	0.205958	0.433902	
29000	-50.135042	12	0.022032	0.623131	0.859600	0.343820	0.000088	0.000002	0.979845	0.020065	
30000	-45.418153	61	7.260825	1.299531	0.133286	3.275544	0.041008	0.430017	0.046054	0.482921	
31000	-46.775584	48	7.923981	1.134668	1.126362	3.130921	0.206311	0.281385	0.216721	0.295583	
32000	-48.581264	20	9.800143	0.978247	2.908592	1.657019	0.375903	0.119403	0.383028	0.121666	
33000	-52.595636	17	13.267287	1.605998	11.466066	10.153688	0.249685	0.249664	0.250336	0.250315	
34000	-46.392004	46	17.811938	2.213570	0.790121	2.865908	0.192365	0.307628	0.192370	0.307637	
35000	-47.389348	21	16.250940	2.462789	0.289451	3.214530	0.097179	0.402625	0.097255	0.402941	
36000	-49.941349	54	21.783605	5.087239	2.553722	3.138011	0.278202	0.221798	0.278202	0.221798	
37000	-46.762854	75	5.109312	0.503749	0.762519	2.294951	0.177733	0.234945	0.252948	0.334374	
38000	-51.947413	45	4.078020	0.593116	0.724761	6.504600	0.124243	0.251443	0.206466	0.417848	
39000	-50.173259	88	20.815684	5.855394	0.115307	3.649018	0.046686	0.453313	0.046686	0.453314	
40000	-47.982585	2	11.917192	1.608465	1.693692	1.018363	0.446922	0.052053	0.448758	0.052267	
41000	-47.333946	77	16.775082	3.097607	0.375209	3.684616	0.100954	0.399012	0.100968	0.399067	
42000	-46.794272	69	17.515853	2.237738	0.128686	3.460365	0.045021	0.454962	0.045024	0.454993	
43000	-46.307883	44	10.342561	0.542097	0.188631	2.651947	0.095137	0.407048	0.094309	0.403506	
