Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
833	0.312125	167	0.664671	1.847170	833	0.312125	0.371000	0.353160	
835	0.295808	165	0.678788	1.847170	835	0.295808	0.359000	0.353166	
841	0.319857	159	0.710692	1.847170	841	0.319857	0.382000	0.353195	
831	0.317690	169	0.603550	1.847170	831	0.317690	0.366000	0.353208	
844	0.306872	156	0.544872	1.847170	844	0.306872	0.344000	0.353199	
845	0.289941	155	0.587097	1.847170	845	0.289941	0.336000	0.353182	
826	0.296610	174	0.626437	1.847170	826	0.296610	0.354000	0.353182	
856	0.318925	144	0.583333	1.847170	856	0.318925	0.357000	0.353186	
825	0.341818	175	0.582857	1.847170	825	0.341818	0.384000	0.353217	
844	0.328199	156	0.653846	1.847170	844	0.328199	0.379000	0.353242	
845	0.315976	155	0.587097	1.847170	845	0.315976	0.358000	0.353247	
831	0.302046	169	0.615385	1.847170	831	0.302046	0.355000	0.353249	
844	0.266588	156	0.705128	1.847170	844	0.266588	0.335000	0.353231	
840	0.220238	160	0.675000	1.847170	840	0.220238	0.293000	0.353171	
832	0.302885	168	0.625000	1.847170	832	0.302885	0.357000	0.353175	
846	0.284870	154	0.642857	1.847170	846	0.284870	0.340000	0.353162	
840	0.307143	160	0.656250	1.847170	840	0.307143	0.363000	0.353172	
845	0.272189	155	0.600000	1.847170	845	0.272189	0.323000	0.353142	
836	0.296651	164	0.609756	1.847170	836	0.296651	0.348000	0.353137	
819	0.262515	181	0.629834	1.847170	819	0.262515	0.329000	0.353113	
824	0.332524	176	0.585227	1.847170	824	0.332524	0.377000	0.353137	
840	0.327381	160	0.637500	1.847170	840	0.327381	0.377000	0.353160	
854	0.311475	146	0.534247	1.847170	854	0.311475	0.344000	0.353151	
835	0.306587	165	0.593939	1.847170	835	0.306587	0.354000	0.353152	
836	0.334928	164	0.591463	1.847170	836	0.334928	0.377000	0.353175	
833	0.309724	167	0.592814	1.847170	833	0.309724	0.357000	0.353179	
824	0.277913	176	0.590909	1.847170	824	0.277913	0.333000	0.353159	
827	0.304716	173	0.589595	1.847170	827	0.304716	0.354000	0.353160	
817	0.279070	183	0.639344	1.847170	817	0.279070	0.345000	0.353152	
838	0.317422	162	0.641975	1.847170	838	0.317422	0.370000	0.353169	
834	0.292566	166	0.566265	1.847170	834	0.292566	0.338000	0.353154	
839	0.320620	161	0.527950	1.847170	839	0.320620	0.354000	0.353155	
839	0.271752	161	0.683230	1.847170	839	0.271752	0.338000	0.353140	
823	0.306197	177	0.644068	1.847170	823	0.306197	0.366000	0.353152	
846	0.307329	154	0.720779	1.847170	846	0.307329	0.371000	0.353170	
817	0.332925	183	0.617486	1.847170	817	0.332925	0.385000	0.353200	
830	0.275904	170	0.735294	1.847170	830	0.275904	0.354000	0.353201	
854	0.291569	146	0.636986	1.847170	854	0.291569	0.342000	0.353190	
828	0.309179	172	0.668605	1.847170	828	0.309179	0.371000	0.353208	
815	0.294479	185	0.681081	1.847170	815	0.294479	0.366000	0.353220	
844	0.300948	156	0.506410	1.847170	844	0.300948	0.333000	0.353200	
835	0.304192	165	0.690909	1.847170	835	0.304192	0.368000	0.353215	
836	0.295455	164	0.542683	1.847170	836	0.295455	0.336000	0.353198	
825	0.317576	175	0.714286	1.847170	825	0.317576	0.387000	0.353231	
837	0.278375	163	0.503067	1.847170	837	0.278375	0.315000	0.353194	
846	0.320331	154	0.545455	1.847170	846	0.320331	0.355000	0.353196	
845	0.293491	155	0.529032	1.847170	845	0.293491	0.330000	0.353173	
824	0.322816	176	0.602273	1.847170	824	0.322816	0.372000	0.353191	
839	0.299166	161	0.515528	1.847170	839	0.299166	0.334000	0.353173	
850	0.330588	150	0.613333	1.847170	850	0.330588	0.373000	0.353192	
830	0.302410	170	0.623529	1.847170	830	0.302410	0.357000	0.353196	
815	0.267485	185	0.535135	1.847170	815	0.267485	0.317000	0.353161	
824	0.371359	176	0.545455	1.847170	824	0.371359	0.402000	0.353208	
827	0.322854	173	0.699422	1.847170	827	0.322854	0.388000	0.353241	
852	0.305164	148	0.709459	1.847170	852	0.305164	0.365000	0.353252	
837	0.317802	163	0.546012	1.847170	837	0.317802	0.355000	0.353253	
835	0.295808	165	0.496970	1.847170	835	0.295808	0.329000	0.353231	
835	0.295808	165	0.642424	1.847170	835	0.295808	0.353000	0.353230	
828	0.300725	172	0.732558	1.847170	828	0.300725	0.375000	0.353251	
820	0.308537	180	0.644444	1.847170	820	0.308537	0.369000	0.353266	
835	0.337725	165	0.636364	1.847170	835	0.337725	0.387000	0.353297	
845	0.301775	155	0.670968	1.847170	845	0.301775	0.359000	0.353303	
846	0.302600	154	0.681818	1.847170	846	0.302600	0.361000	0.353310	
856	0.275701	144	0.569444	1.847170	856	0.275701	0.318000	0.353277	
835	0.319760	165	0.533333	1.847170	835	0.319760	0.355000	0.353279	
858	0.334499	142	0.683099	1.847170	858	0.334499	0.384000	0.353307	
837	0.284349	163	0.705521	1.847170	837	0.284349	0.353000	0.353307	
825	0.293333	175	0.617143	1.847170	825	0.293333	0.350000	0.353304	
839	0.320620	161	0.621118	1.847170	839	0.320620	0.369000	0.353319	
836	0.311005	164	0.646341	1.847170	836	0.311005	0.366000	0.353331	
837	0.322581	163	0.680982	1.847170	837	0.322581	0.381000	0.353356	
849	0.275618	151	0.569536	1.847170	849	0.275618	0.320000	0.353325	
827	0.355502	173	0.641618	1.847170	827	0.355502	0.405000	0.353373	
819	0.307692	181	0.657459	1.847170	819	0.307692	0.371000	0.353390	
846	0.267139	154	0.636364	1.847170	846	0.267139	0.324000	0.353362	
827	0.311971	173	0.601156	1.847170	827	0.311971	0.362000	0.353370	
831	0.320096	169	0.603550	1.847170	831	0.320096	0.368000	0.353384	
840	0.290476	160	0.637500	1.847170	840	0.290476	0.346000	0.353377	
831	0.303249	169	0.514793	1.847170	831	0.303249	0.339000	0.353364	
838	0.275656	162	0.672840	1.847170	838	0.275656	0.340000	0.353352	
823	0.336574	177	0.508475	1.847170	823	0.336574	0.367000	0.353364	
824	0.310680	176	0.659091	1.847170	824	0.310680	0.372000	0.353381	
827	0.305925	173	0.664740	1.847170	827	0.305925	0.368000	0.353395	
814	0.287469	186	0.693548	1.847170	814	0.287469	0.363000	0.353404	
827	0.282950	173	0.537572	1.847170	827	0.282950	0.327000	0.353379	
840	0.313095	160	0.606250	1.847170	840	0.313095	0.360000	0.353385	
820	0.321951	180	0.572222	1.847170	820	0.321951	0.367000	0.353398	
861	0.285714	139	0.625899	1.847170	861	0.285714	0.333000	0.353379	
838	0.305489	162	0.598765	1.847170	838	0.305489	0.353000	0.353379	
844	0.293839	156	0.615385	1.847170	844	0.293839	0.344000	0.353370	
840	0.291667	160	0.600000	1.847170	840	0.291667	0.341000	0.353359	
813	0.296433	187	0.609626	1.847170	813	0.296433	0.355000	0.353360	
819	0.294261	181	0.657459	1.847170	819	0.294261	0.360000	0.353367	
839	0.301549	161	0.645963	1.847170	839	0.301549	0.357000	0.353370	
850	0.291765	150	0.566667	1.847170	850	0.291765	0.333000	0.353351	
830	0.304819	170	0.676471	1.847170	830	0.304819	0.368000	0.353365	
835	0.306587	165	0.642424	1.847170	835	0.306587	0.362000	0.353373	
844	0.330569	156	0.711538	1.847170	844	0.330569	0.390000	0.353406	
828	0.299517	172	0.627907	1.847170	828	0.299517	0.356000	0.353408	
821	0.356882	179	0.625698	1.847170	821	0.356882	0.405000	0.353455	
844	0.311611	156	0.608974	1.847170	844	0.311611	0.358000	0.353459	
847	0.276269	153	0.607843	1.847170	847	0.276269	0.327000	0.353435	
837	0.289128	163	0.693252	1.847170	837	0.289128	0.355000	0.353437	
812	0.314039	188	0.686170	1.847170	812	0.314039	0.384000	0.353464	
829	0.278649	171	0.625731	1.847170	829	0.278649	0.338000	0.353450	
825	0.303030	175	0.531429	1.847170	825	0.303030	0.343000	0.353441	
830	0.308434	170	0.647059	1.847170	830	0.308434	0.366000	0.353452	
850	0.323529	150	0.653333	1.847170	850	0.323529	0.373000	0.353470	
841	0.262782	159	0.685535	1.847170	841	0.262782	0.330000	0.353449	
841	0.322235	159	0.685535	1.847170	841	0.322235	0.380000	0.353473	
843	0.308422	157	0.617834	1.847170	843	0.308422	0.357000	0.353476	
834	0.328537	166	0.650602	1.847170	834	0.328537	0.382000	0.353501	
837	0.317802	163	0.601227	1.847170	837	0.317802	0.364000	0.353511	
848	0.323113	152	0.618421	1.847170	848	0.323113	0.368000	0.353524	
824	0.304612	176	0.613636	1.847170	824	0.304612	0.359000	0.353529	
837	0.302270	163	0.638037	1.847170	837	0.302270	0.357000	0.353532	
845	0.288757	155	0.541935	1.847170	845	0.288757	0.328000	0.353509	
842	0.281473	158	0.525316	1.847170	842	0.281473	0.320000	0.353479	
829	0.306393	171	0.567251	1.847170	829	0.306393	0.351000	0.353477	
817	0.314565	183	0.683060	1.847170	817	0.314565	0.382000	0.353502	
841	0.325803	159	0.761006	1.847170	841	0.325803	0.395000	0.353539	
820	0.304878	180	0.722222	1.847170	820	0.304878	0.380000	0.353563	
845	0.292308	155	0.567742	1.847170	845	0.292308	0.335000	0.353546	
854	0.314988	146	0.589041	1.847170	854	0.314988	0.355000	0.353548	
835	0.302994	165	0.660606	1.847170	835	0.302994	0.362000	0.353555	
819	0.297924	181	0.569061	1.847170	819	0.297924	0.347000	0.353549	
844	0.302133	156	0.634615	1.847170	844	0.302133	0.354000	0.353550	
