"","x"
"1","olda1245"
"2","olda1245"
"3","bloo1239"
"4","bloo1239"
"5","cree1272"
"6","cree1272"
"7","comm1246"
"8","comm1246"
"9","male1293"
"10","male1293"
"11","mohe1244"
"12","mohe1244"
"13","ojib1241"
"14","ojib1241"
"15","ojib1241"
"16","uppe1274"
"17","uppe1274"
"18","ojib1241"
"19","ojib1241"
"20","peor1238"
"21","peor1238"
"22","pieg1239"
"23","pieg1239"
"24","plai1258"
"25","plai1258"
"26","nucl1653"
"27","nucl1653"
"28","bali1274"
"29","bali1274"
"30","bali1275"
"31","bali1275"
"32","bena1262"
"33","bena1262"
"34","bena1262"
"35","bila1255"
"36","bila1255"
"37","ekon1238"
"38","ekon1238"
"39","fipa1238"
"40","fipa1238"
"41","kele1257"
"42","kele1257"
"43","meru1245"
"44","meru1245"
"45","meta1238"
"46","meta1238"
"47","meta1238"
"48","meta1238"
"49","meta1238"
"50","meta1238"
"51","sang1330"
"52","sang1330"
"53","suun1239"
"54","suun1239"
"55","shil1264"
"56","shil1264"
"57","temi1247"
"58","temi1247"
"59","temi1247"
"60","tong1321"
"61","tong1321"
"62","yomb1244"
"63","yomb1244"
"64","birh1242"
"65","birh1242"
"66","birh1242"
"67","birh1242"
"68","phai1238"
"69","phai1238"
"70","alan1249"
"71","alan1249"
"72","alan1249"
"73","ampi1237"
"74","ampi1237"
"75","aniw1237"
"76","aniw1237"
"77","mouk1240"
"78","mouk1240"
"79","mouk1240"
"80","aser1237"
"81","aser1237"
"82","atch1238"
"83","atch1238"
"84","atta1244"
"85","atta1244"
"86","baca1243"
"87","baca1243"
"88","baca1243"
"89","baho1237"
"90","baho1237"
"91","bari1288"
"92","bari1288"
"93","bont1247"
"94","bont1247"
"95","saba1263"
"96","saba1263"
"97","saba1263"
"98","buhi1245"
"99","buhi1245"
"100","buhi1245"
"101","buli1256"
"102","buli1256"
"103","buli1256"
"104","bung1269"
"105","bung1269"
"106","bwai1243"
"107","bwai1243"
"108","emau1237"
"109","emau1237"
"110","nucl1479"
"111","nucl1479"
"112","ifug1247"
"113","ifug1247"
"114","iray1237"
"115","iray1237"
"116","iray1237"
"117","kada1286"
"118","kada1286"
"119","kona1243"
"120","kona1243"
"121","laiw1239"
"122","laiw1239"
"123","lalo1239"
"124","lalo1239"
"125","land1259"
"126","land1259"
"127","laua1243"
"128","laua1243"
"129","lubu1242"
"130","lubu1242"
"131","maba1278"
"132","maba1278"
"133","mada1284"
"134","mada1284"
"135","maga1262"
"136","maga1262"
"137","maga1262"
"138","mang1402"
"139","mang1402"
"140","mang1401"
"141","mang1401"
"142","mang1401"
"143","mang1401"
"144","mang1401"
"145","mang1401"
"146","mang1407"
"147","mang1407"
"148","marq1246"
"149","marq1246"
"150","meko1237"
"151","meko1237"
"152","menu1237"
"153","menu1237"
"154","mouk1240"
"155","mouk1240"
"156","mouk1240"
"157","mung1271"
"158","mung1271"
"159","mung1270"
"160","nage1237"
"161","nage1237"
"162","nage1237"
"163","nage1237"
"164","nage1237"
"165","nese1235"
"166","nese1235"
"167","nese1235"
"168","nese1235"
"169","ngun1274"
"170","ngun1274"
"171","niua1240"
"172","niua1240"
"173","olal1237"
"174","olal1237"
"175","rapa1245"
"176","rapa1245"
"177","rapa1245"
"178","rapa1245"
"179","rata1245"
"180","rata1245"
"181","rata1245"
"182","rout1237"
"183","rout1237"
"184","sout2866"
"185","sout2866"
"186","sout2865"
"187","sout2865"
"188","sula1245"
"189","sula1245"
"190","mang1408"
"191","tady1237"
"192","tady1237"
"193","tana1285"
"194","tasi1237"
"195","tasi1237"
"196","taum1237"
"197","taum1237"
"198","tetu1246"
"199","tetu1246"
"200","tetu1246"
"201","tetu1246"
"202","kaba1285"
"203","kaba1285"
"204","tore1237"
"205","tore1237"
"206","tubu1240"
"207","tubu1240"
"208","tula1253"
"209","tula1253"
"210","ulaw1237"
"211","ulaw1237"
"212","ulaw1237"
"213","ulaw1237"
"214","umaj1240"
"215","umaj1240"
"216","waia1242"
"217","waia1242"
"218","waia1242"
"219","watu1246"
"220","watu1246"
"221","weda1240"
"222","weda1240"
"223","west2515"
"224","west2515"
"225","west2515"
"226","west2515"
"227","west2515"
"228","west2559"
"229","west2559"
"230","wiwi1237"
"231","wiwi1237"
"232","chen1255"
"233","chen1255"
"234","chen1255"
"235","chen1255"
"236","gond1265"
"237","gond1265"
"238","gond1265"
"239","kada1242"
"240","kada1242"
"241","kada1242"
"242","kada1242"
"243","koda1255"
"244","koda1255"
"245","koda1255"
"246","koda1255"
"247","koda1255"
"248","koda1255"
"249","koda1255"
"250","koda1255"
"251","koda1255"
"252","koda1255"
"253","mala1468"
"254","mala1468"
"255","mala1468"
"256","mala1468"
"257","mala1468"
"258","yeru1240"
"259","yeru1240"
"260","alba1267"
"261","alba1267"
"262","alba1267"
"263","alba1267"
"264","alba1267"
"265","balo1260"
"266","balo1260"
"267","biha1245"
"268","biha1245"
"269","biha1245"
"270","biha1245"
"271","biha1245"
"272","biha1245"
"273","biha1245"
"274","chav1241"
"275","chav1241"
"276","east1436"
"277","east1436"
"278","fris1239"
"279","fris1239"
"280","fris1239"
"281","fris1239"
"282","fris1239"
"283","fris1239"
"284","jama1262"
"285","jama1262"
"286","jama1262"
"287","jama1262"
"288","mala1533"
"289","mala1533"
"290","mala1533"
"291","mala1533"
"292","lahn1241"
"293","lahn1241"
"294","lahn1241"
"295","lahn1241"
"296","lahn1241"
"297","lahn1241"
"298","lahn1241"
"299","latv1249"
"300","latv1249"
"301","latv1249"
"302","latv1249"
"303","midd1317"
"304","midd1317"
"305","midd1343"
"306","midd1343"
"307","nege1244"
"308","nege1244"
"309","nege1244"
"310","nege1244"
"311","nege1244"
"312","nege1244"
"313","nege1244"
"314","norw1259"
"315","norw1259"
"316","oldw1239"
"317","oldw1239"
"318","osse1245"
"319","osse1245"
"320","pash1269"
"321","pash1269"
"322","pash1269"
"323","pash1269"
"324","sard1257"
"325","sard1257"
"326","sate1242"
"327","sate1242"
"328","sate1242"
"329","sout1528"
"330","sout1528"
"331","sout1528"
"332","sout1528"
"333","sout1528"
"334","sout1528"
"335","sout1528"
"336","sout1528"
"337","sind1272"
"338","sind1272"
"339","sind1272"
"340","sind1272"
"341","tokp1240"
"342","tokp1240"
"343","torr1261"
"344","torr1261"
"345","torr1261"
"346","torr1261"
"347","torr1261"
"348","wall1255"
"349","wall1255"
"350","homs1234"
"351","homs1234"
"352","ancu1238"
"353","ancu1238"
"354","ancu1238"
"355","ancu1238"
"356","anda1281"
"357","anda1281"
"358","batl1238"
"359","batl1238"
"360","hidd1238"
"361","hidd1238"
"362","hidd1238"
"363","kunz1243"
"364","kunz1243"
"365","kunz1243"
"366","kunz1243"
"367","giga1238"
"368","giga1238"
"369","chir1284"
"370","chir1284"
"371","icar1234"
"372","icar1234"
"373","inxo1238"
"374","inxo1238"
"375","shin1265"
"376","shin1265"
"377","boun1245"
"378","boun1245"
"379","soge1235"
"380","soge1235"
"381","bard1254"
"382","bard1254"
"383","west1508"
"384","west1508"
"385","buin1247"
"386","buin1247"
"387","buin1247"
"388","dege1248"
"389","dege1248"
"390","ende1235"
"391","ende1235"
"392","inan1242"
"393","inan1242"
"394","kanu1280"
"395","kanu1280"
"396","kanu1280"
"397","kaya1318"
"398","kaya1318"
"399","mong1331"
"400","mong1331"
"401","kiow1264"
"402","kiow1264"
"403","kira1248"
"404","kira1248"
"405","kiwa1251"
"406","kiwa1251"
"407","kiwa1251"
"408","kiwa1251"
"409","komn1238"
"410","komn1238"
"411","lard1243"
"412","lard1243"
"413","leng1262"
"414","leng1262"
"415","limi1242"
"416","limi1242"
"417","mbla1238"
"418","mbla1238"
"419","baff1241"
"420","baff1241"
"421","baff1241"
"422","brul1239"
"423","brul1239"
"424","hare1243"
"425","hare1243"
"426","japa1256"
"427","japa1256"
"428","japa1256"
"429","japa1256"
"430","west2632"
"431","west2632"
"432","otoo1241"
"433","otoo1241"
"434","ponc1241"
"435","ponc1241"
"436","ponc1241"
"437","slav1253"
"438","slav1253"
"439","tesu1245"
"440","tesu1245"
"441","tesu1245"
"442","laur1250"
"443","laur1250"
"444","winn1245"
"445","winn1245"
"446","winn1245"
"447","winn1245"
"448","yaki1237"
"449","yaki1237"
"450","yaki1237"
"451","yaki1237"
"452","nama1266"
"453","nama1266"
"454","nenn1238"
"455","nenn1238"
"456","nenn1238"
"457","nenn1238"
"458","nort2938"
"459","nort2938"
"460","nort2938"
"461","nort2938"
"462","nyul1247"
"463","nyul1247"
"464","nyul1247"
"465","nyul1247"
"466","nyul1247"
"467","nyul1247"
"468","tolo1259"
"469","tolo1259"
"470","colo1249"
"471","colo1249"
"472","wail1244"
"473","wail1244"
"474","gunt1241"
"475","gunt1241"
"476","band1339"
"477","band1339"
"478","band1339"
"479","band1339"
"480","band1339"
"481","band1339"
"482","band1339"
"483","band1339"
"484","band1339"
"485","band1339"
"486","band1339"
"487","band1339"
"488","band1339"
"489","band1339"
"490","band1339"
"491","band1339"
"492","band1339"
"493","band1339"
"494","band1339"
"495","band1339"
"496","band1339"
"497","band1339"
"498","band1339"
"499","band1339"
"500","band1339"
"501","bind1236"
"502","bind1236"
"503","bind1236"
"504","bind1236"
"505","bung1264"
"506","bung1264"
"507","bung1264"
"508","bung1264"
"509","dhar1248"
"510","dhar1248"
"511","dhar1248"
"512","dhar1248"
"513","dhar1248"
"514","dhar1248"
"515","dhar1248"
"516","dhar1248"
"517","dhar1248"
"518","dhar1248"
"519","dhuw1248"
"520","dhuw1248"
"521","dhuw1249"
"522","dhuw1249"
"523","dhuw1249"
"524","dhuw1249"
"525","dhuw1249"
"526","dhuw1249"
"527","dhuw1249"
"528","dhuw1249"
"529","dhuw1249"
"530","dhuw1249"
"531","dhuw1249"
"532","dhuw1249"
"533","dhuw1249"
"534","dhuw1249"
"535","duun1241"
"536","duun1241"
"537","duun1241"
"538","duun1241"
"539","duun1241"
"540","flin1247"
"541","kari1304"
"542","kari1304"
"543","kart1247"
"544","kart1247"
"545","kart1247"
"546","kart1247"
"547","karr1236"
"548","karr1236"
"549","kuka1246"
"550","kuka1246"
"551","kuka1246"
"552","kuka1246"
"553","kuka1246"
"554","kuka1246"
"555","kuka1246"
"556","kunj1248"
"557","kunj1248"
"558","malg1242"
"559","malg1242"
"560","malg1242"
"561","malg1242"
"562","malg1242"
"563","malg1242"
"564","malg1242"
"565","malg1242"
"566","malg1242"
"567","malg1242"
"568","malg1242"
"569","malg1242"
"570","malg1242"
"571","malg1242"
"572","malg1242"
"573","malg1242"
"574","mudb1240"
"575","mudb1240"
"576","mudb1240"
"577","mudb1240"
"578","mudb1240"
"579","yinh1234"
"580","yinh1234"
"581","yinh1234"
"582","yinh1234"
"583","narr1259"
"584","narr1259"
"585","narr1259"
"586","narr1259"
"587","nyam1271"
"588","nyam1271"
"589","nyam1271"
"590","nyam1271"
"591","bayu1240"
"592","bayu1240"
"593","bayu1240"
"594","bayu1240"
"595","bayu1240"
"596","bayu1240"
"597","pirr1240"
"598","pirr1240"
"599","pirr1240"
"600","pirr1240"
"601","pirr1240"
"602","pirr1240"
"603","umpi1239"
"604","umpi1239"
"605","umpi1239"
"606","umpi1239"
"607","atam1239"
"608","atam1239"
"609","atam1239"
"610","wang1288"
"611","wang1288"
"612","wang1288"
"613","wong1246"
"614","wong1246"
"615","wong1246"
"616","wong1246"
"617","wong1246"
"618","wong1246"
"619","wong1246"
"620","wong1246"
"621","wong1246"
"622","wong1246"
"623","wong1246"
"624","wong1246"
"625","wong1246"
"626","wong1246"
"627","wong1246"
"628","warl1255"
"629","warl1255"
"630","wanm1242"
"631","wanm1242"
"632","wanm1242"
"633","wanm1242"
"634","wanm1242"
"635","wanm1242"
"636","wanm1242"
"637","warr1257"
"638","warr1257"
"639","yadh1237"
"640","yadh1237"
"641","yadh1237"
"642","yiry1245"
"643","yiry1245"
"644","yugu1249"
"645","yugu1249"
"646","yugu1249"
"647","yugu1249"
"648","yugu1249"
"649","yugu1249"
"650","yugu1249"
"651","yugu1249"
"652","yugu1249"
"653","yulp1239"
"654","yulp1239"
"655","yulp1239"
"656","yulp1239"
"657","yulp1239"
"658","yulp1239"
"659","wang1287"
"660","wang1287"
"661","jing1260"
"662","jing1260"
"663","burm1266"
"664","burm1266"
"665","burm1266"
"666","burm1266"
"667","sini1245"
"668","sini1245"
"669","sini1245"
"670","pwoo1239"
"671","pwoo1239"
"672","kare1337"
"673","kare1337"
"674","prak1243"
"675","prak1243"
"676","shan1293"
"677","deho1238"
"678","deho1238"
"679","deho1238"
"680","deho1238"
"681","deho1238"
"682","deho1238"
"683","deho1238"
"684","deho1238"
"685","turu1249"
"686","turu1249"
"687","tupi1274"
"688","tupi1274"
"689","bann1248"
"690","bann1248"
"691","chem1251"
"692","chem1251"
"693","utee1244"
"694","utee1244"
"695","eude1234"
"696","eude1234"
"697","eude1234"
"698","eude1234"
"699","tong1329"
"700","tong1329"
"701","tong1329"
"702","huas1257"
"703","nort1551"
"704","nort1551"
"705","chih1238"
"706","chih1238"
"707","sout2969"
"708","sout2969"
"709","sout2975"
"710","sout2975"
"711","sout2975"
"712","utee1244"
"713","utee1244"
"714","utee1244"
